visiting_team,home_team,month,home_wins
Philadelphia 76ers,Houston Rockets,Nov,yes
Denver Nuggets,Indiana Pacers,Nov,no
San Antonio Spurs,Los Angeles Lakers,Nov,no
Minnesota Timberwolves,New Orleans Pelicans,Nov,yes
Utah Jazz,New York Knicks,Nov,no
Detroit Pistons,Oklahoma City Thunder,Nov,no
Milwaukee Bucks,Orlando Magic,Nov,yes
Charlotte Hornets,Phoenix Suns,Nov,no
Indiana Pacers,Chicago Bulls,Nov,no
Atlanta Hawks,Cleveland Cavaliers,Nov,yes
Minnesota Timberwolves,Dallas Mavericks,Nov,yes
Charlotte Hornets,Golden State Warriors,Nov,yes
Phoenix Suns,Los Angeles Clippers,Nov,yes
Detroit Pistons,Memphis Grizzlies,Nov,yes
Brooklyn Nets,Portland Trail Blazers,Nov,yes
San Antonio Spurs,Sacramento Kings,Nov,yes
Utah Jazz,Toronto Raptors,Nov,yes
Orlando Magic,Washington Wizards,Nov,yes
Golden State Warriors,Los Angeles Lakers,Nov,no
Milwaukee Bucks,Miami Heat,Nov,no
Denver Nuggets,New York Knicks,Nov,yes
Houston Rockets,Oklahoma City Thunder,Nov,no
Phoenix Suns,Boston Celtics,Nov,no
Miami Heat,Brooklyn Nets,Nov,no
Dallas Mavericks,Charlotte Hornets,Nov,no
Denver Nuggets,Cleveland Cavaliers,Nov,no
Orlando Magic,Detroit Pistons,Nov,no
Chicago Bulls,Los Angeles Clippers,Nov,no
Houston Rockets,Memphis Grizzlies,Nov,yes
New Orleans Pelicans,Portland Trail Blazers,Nov,yes
Philadelphia 76ers,San Antonio Spurs,Nov,yes
Los Angeles Lakers,Atlanta Hawks,Nov,no
New York Knicks,Milwaukee Bucks,Nov,yes
New Orleans Pelicans,Sacramento Kings,Nov,no
Oklahoma City Thunder,Utah Jazz,Nov,yes
Milwaukee Bucks,Brooklyn Nets,Nov,no
San Antonio Spurs,Cleveland Cavaliers,Nov,no
Oklahoma City Thunder,Denver Nuggets,Nov,yes
Phoenix Suns,Detroit Pistons,Nov,no
Los Angeles Lakers,Houston Rockets,Nov,no
Charlotte Hornets,Indiana Pacers,Nov,yes
New York Knicks,Minnesota Timberwolves,Nov,yes
Los Angeles Clippers,Orlando Magic,Nov,no
Boston Celtics,Philadelphia 76ers,Nov,no
Memphis Grizzlies,Toronto Raptors,Nov,yes
Dallas Mavericks,Washington Wizards,Nov,no
Los Angeles Clippers,Miami Heat,Nov,no
Chicago Bulls,Sacramento Kings,Nov,yes
Detroit Pistons,Atlanta Hawks,Nov,yes
Orlando Magic,Charlotte Hornets,Nov,no
Los Angeles Lakers,Dallas Mavericks,Nov,yes
New Orleans Pelicans,Denver Nuggets,Nov,yes
Utah Jazz,Golden State Warriors,Nov,yes
Boston Celtics,Memphis Grizzlies,Nov,yes
San Antonio Spurs,Minnesota Timberwolves,Nov,no
Brooklyn Nets,Oklahoma City Thunder,Nov,no
Phoenix Suns,Philadelphia 76ers,Nov,no
Chicago Bulls,Portland Trail Blazers,Nov,yes
Milwaukee Bucks,Toronto Raptors,Nov,yes
Cleveland Cavaliers,Washington Wizards,Nov,yes
Toronto Raptors,Cleveland Cavaliers,Nov,no
Dallas Mavericks,Houston Rockets,Nov,yes
Phoenix Suns,Indiana Pacers,Nov,no
Washington Wizards,Milwaukee Bucks,Nov,no
Sacramento Kings,Minnesota Timberwolves,Nov,no
Philadelphia 76ers,New York Knicks,Nov,yes
Miami Heat,Orlando Magic,Nov,no
Brooklyn Nets,San Antonio Spurs,Nov,yes
New Orleans Pelicans,Utah Jazz,Nov,no
Portland Trail Blazers,Boston Celtics,Nov,no
Denver Nuggets,Los Angeles Lakers,Nov,no
Los Angeles Clippers,Memphis Grizzlies,Nov,yes
Charlotte Hornets,Miami Heat,Nov,yes
Golden State Warriors,Oklahoma City Thunder,Nov,no
Los Angeles Clippers,Charlotte Hornets,Nov,no
Orlando Magic,Cleveland Cavaliers,Nov,yes
Indiana Pacers,Dallas Mavericks,Nov,no
New York Knicks,Houston Rockets,Nov,yes
Portland Trail Blazers,Philadelphia 76ers,Nov,no
Phoenix Suns,Toronto Raptors,Nov,yes
Chicago Bulls,Utah Jazz,Nov,no
Chicago Bulls,Denver Nuggets,Nov,yes
Golden State Warriors,Miami Heat,Nov,no
Detroit Pistons,Milwaukee Bucks,Nov,yes
Sacramento Kings,New Orleans Pelicans,Nov,no
Atlanta Hawks,Washington Wizards,Nov,no
Toronto Raptors,Atlanta Hawks,Nov,no
Portland Trail Blazers,Charlotte Hornets,Nov,no
Washington Wizards,Cleveland Cavaliers,Nov,yes
New York Knicks,Dallas Mavericks,Nov,yes
Los Angeles Clippers,Detroit Pistons,Nov,no
Sacramento Kings,Houston Rockets,Nov,yes
Memphis Grizzlies,Los Angeles Lakers,Nov,no
Milwaukee Bucks,Minnesota Timberwolves,Nov,no
Utah Jazz,Oklahoma City Thunder,Nov,yes
Golden State Warriors,Orlando Magic,Nov,no
Brooklyn Nets,Philadelphia 76ers,Nov,no
Denver Nuggets,Phoenix Suns,Nov,yes
Indiana Pacers,San Antonio Spurs,Nov,yes
New Orleans Pelicans,Atlanta Hawks,Nov,yes
Chicago Bulls,Boston Celtics,Nov,no
Golden State Warriors,Charlotte Hornets,Nov,no
Phoenix Suns,Denver Nuggets,Nov,yes
Milwaukee Bucks,Detroit Pistons,Nov,no
Los Angeles Clippers,Houston Rockets,Nov,no
Orlando Magic,Indiana Pacers,Nov,yes
Minnesota Timberwolves,Los Angeles Lakers,Nov,no
New York Knicks,Oklahoma City Thunder,Nov,yes
Memphis Grizzlies,Portland Trail Blazers,Nov,no
Sacramento Kings,San Antonio Spurs,Nov,yes
Dallas Mavericks,Toronto Raptors,Nov,no
Charlotte Hornets,Atlanta Hawks,Nov,yes
Indiana Pacers,Cleveland Cavaliers,Nov,yes
Houston Rockets,Milwaukee Bucks,Nov,no
Dallas Mavericks,Philadelphia 76ers,Nov,no
Los Angeles Clippers,Utah Jazz,Nov,no
New Orleans Pelicans,Washington Wizards,Nov,yes
San Antonio Spurs,Boston Celtics,Nov,no
Chicago Bulls,Brooklyn Nets,Nov,no
Golden State Warriors,Detroit Pistons,Nov,no
Toronto Raptors,Los Angeles Lakers,Nov,yes
Miami Heat,New York Knicks,Nov,no
Orlando Magic,Phoenix Suns,Nov,no
Minnesota Timberwolves,Portland Trail Blazers,Nov,yes
Memphis Grizzlies,Sacramento Kings,Nov,no
Minnesota Timberwolves,Los Angeles Clippers,Dec,yes
San Antonio Spurs,Philadelphia 76ers,Dec,no
Denver Nuggets,Utah Jazz,Dec,no
Miami Heat,Washington Wizards,Dec,yes
Boston Celtics,Atlanta Hawks,Dec,yes
Dallas Mavericks,Chicago Bulls,Dec,no
Milwaukee Bucks,Cleveland Cavaliers,Dec,yes
Portland Trail Blazers,Denver Nuggets,Dec,no
Los Angeles Lakers,Detroit Pistons,Dec,no
Orlando Magic,Golden State Warriors,Dec,yes
Oklahoma City Thunder,New Orleans Pelicans,Dec,yes
Brooklyn Nets,New York Knicks,Dec,no
Indiana Pacers,Phoenix Suns,Dec,yes
Toronto Raptors,Sacramento Kings,Dec,no
Detroit Pistons,Boston Celtics,Dec,yes
San Antonio Spurs,Brooklyn Nets,Dec,yes
Chicago Bulls,Charlotte Hornets,Dec,no
Memphis Grizzlies,Houston Rockets,Dec,yes
Orlando Magic,Los Angeles Clippers,Dec,yes
Atlanta Hawks,Miami Heat,Dec,no
Dallas Mavericks,Milwaukee Bucks,Dec,no
