visiting_team,home_team,month,home_wins
Boston Celtics,Indiana Pacers,Jan,yes
Orlando Magic,Los Angeles Lakers,Jan,yes
Minnesota Timberwolves,Milwaukee Bucks,Jan,yes
Memphis Grizzlies,New Orleans Pelicans,Jan,yes
Utah Jazz,Oklahoma City Thunder,Jan,yes
Denver Nuggets,Sacramento Kings,Jan,no
Phoenix Suns,San Antonio Spurs,Jan,yes
Chicago Bulls,Washington Wizards,Jan,yes
Milwaukee Bucks,Chicago Bulls,Jan,yes
Brooklyn Nets,Detroit Pistons,Jan,yes
Utah Jazz,Houston Rockets,Jan,yes
Dallas Mavericks,Los Angeles Clippers,Jan,yes
San Antonio Spurs,Minnesota Timberwolves,Jan,no
Charlotte Hornets,New York Knicks,Jan,no
Indiana Pacers,Philadelphia 76ers,Jan,yes
Orlando Magic,Portland Trail Blazers,Jan,yes
Boston Celtics,Toronto Raptors,Jan,yes
Washington Wizards,Atlanta Hawks,Jan,yes
Miami Heat,Los Angeles Clippers,Jan,no
Portland Trail Blazers,Los Angeles Lakers,Jan,no
Phoenix Suns,Memphis Grizzlies,Jan,yes
Cleveland Cavaliers,Sacramento Kings,Jan,yes
New Orleans Pelicans,Boston Celtics,Jan,yes
Houston Rockets,Brooklyn Nets,Jan,no
Orlando Magic,Chicago Bulls,Jan,no
Detroit Pistons,Toronto Raptors,Jan,no
Minnesota Timberwolves,Indiana Pacers,Jan,no
Miami Heat,Los Angeles Lakers,Jan,no
Atlanta Hawks,Philadelphia 76ers,Jan,no
Cleveland Cavaliers,Phoenix Suns,Jan,yes
Dallas Mavericks,Sacramento Kings,Jan,no
Golden State Warriors,Utah Jazz,Jan,no
San Antonio Spurs,Washington Wizards,Jan,yes
Atlanta Hawks,Boston Celtics,Jan,no
Memphis Grizzlies,Brooklyn Nets,Jan,no
Washington Wizards,Chicago Bulls,Jan,no
San Antonio Spurs,Charlotte Hornets,Jan,no
Dallas Mavericks,Denver Nuggets,Jan,yes
New Orleans Pelicans,Detroit Pistons,Jan,no
Miami Heat,Golden State Warriors,Jan,yes
Houston Rockets,Orlando Magic,Jan,yes
Los Angeles Clippers,Portland Trail Blazers,Jan,no
Philadelphia 76ers,Toronto Raptors,Jan,yes
Oklahoma City Thunder,Houston Rockets,Jan,yes
Cleveland Cavaliers,Los Angeles Lakers,Jan,no
New York Knicks,Milwaukee Bucks,Jan,yes
Chicago Bulls,Boston Celtics,Jan,no
Denver Nuggets,Dallas Mavericks,Jan,yes
Detroit Pistons,Indiana Pacers,Jan,no
Cleveland Cavaliers,Los Angeles Clippers,Jan,no
Golden State Warriors,Oklahoma City Thunder,Jan,yes
Memphis Grizzlies,Orlando Magic,Jan,no
New Orleans Pelicans,Philadelphia 76ers,Jan,yes
Minnesota Timberwolves,Phoenix Suns,Jan,yes
Miami Heat,Sacramento Kings,Jan,no
Portland Trail Blazers,San Antonio Spurs,Jan,yes
Atlanta Hawks,Toronto Raptors,Jan,no
Los Angeles Lakers,Utah Jazz,Jan,yes
Brooklyn Nets,Washington Wizards,Jan,no
Washington Wizards,Brooklyn Nets,Jan,no
Atlanta Hawks,Chicago Bulls,Jan,no
Indiana Pacers,Charlotte Hornets,Jan,yes
Minnesota Timberwolves,Denver Nuggets,Jan,no
Philadelphia 76ers,Detroit Pistons,Jan,yes
Golden State Warriors,Houston Rockets,Jan,no
Portland Trail Blazers,Memphis Grizzlies,Jan,yes
Los Angeles Clippers,Sacramento Kings,Jan,no
Oklahoma City Thunder,Orlando Magic,Jan,no
Utah Jazz,San Antonio Spurs,Jan,yes
New Orleans Pelicans,Toronto Raptors,Jan,no
Detroit Pistons,Atlanta Hawks,Jan,yes
Minnesota Timberwolves,Charlotte Hornets,Jan,yes
Chicago Bulls,Cleveland Cavaliers,Jan,yes
Denver Nuggets,Golden State Warriors,Jan,yes
Indiana Pacers,Houston Rockets,Jan,yes
Boston Celtics,Los Angeles Clippers,Jan,yes
Dallas Mavericks,Memphis Grizzlies,Jan,no
Toronto Raptors,Milwaukee Bucks,Jan,no
New Orleans Pelicans,New York Knicks,Jan,yes
Los Angeles Lakers,Phoenix Suns,Jan,yes
Sacramento Kings,Portland Trail Blazers,Jan,yes
Philadelphia 76ers,Washington Wizards,Jan,yes
San Antonio Spurs,Denver Nuggets,Jan,no
Oklahoma City Thunder,Miami Heat,Jan,no
Indiana Pacers,Atlanta Hawks,Jan,yes
Miami Heat,Charlotte Hornets,Jan,yes
Utah Jazz,Cleveland Cavaliers,Jan,yes
Orlando Magic,Detroit Pistons,Jan,yes
Houston Rockets,Golden State Warriors,Jan,yes
Toronto Raptors,Memphis Grizzlies,Jan,yes
Dallas Mavericks,Minnesota Timberwolves,Jan,no
Los Angeles Lakers,New Orleans Pelicans,Jan,yes
New York Knicks,Philadelphia 76ers,Jan,no
Portland Trail Blazers,Phoenix Suns,Jan,yes
Brooklyn Nets,Sacramento Kings,Jan,no
Oklahoma City Thunder,Washington Wizards,Jan,no
San Antonio Spurs,Chicago Bulls,Jan,yes
Brooklyn Nets,Los Angeles Clippers,Jan,yes
Utah Jazz,Milwaukee Bucks,Jan,no
Boston Celtics,Portland Trail Blazers,Jan,no
Oklahoma City Thunder,Atlanta Hawks,Jan,yes
Charlotte Hornets,Cleveland Cavaliers,Jan,yes
Chicago Bulls,Dallas Mavericks,Jan,no
Boston Celtics,Denver Nuggets,Jan,no
Sacramento Kings,Golden State Warriors,Jan,yes
Indiana Pacers,Miami Heat,Jan,yes
New Orleans Pelicans,Minnesota Timberwolves,Jan,no
Orlando Magic,New York Knicks,Jan,yes
Toronto Raptors,Philadelphia 76ers,Jan,no
Houston Rockets,Phoenix Suns,Jan,no
Los Angeles Lakers,San Antonio Spurs,Jan,yes
New York Knicks,Charlotte Hornets,Jan,yes
Philadelphia 76ers,Memphis Grizzlies,Jan,yes
Detroit Pistons,Milwaukee Bucks,Jan,yes
Washington Wizards,Portland Trail Blazers,Jan,yes
Brooklyn Nets,Utah Jazz,Jan,yes
Minnesota Timberwolves,Atlanta Hawks,Jan,yes
Miami Heat,Chicago Bulls,Jan,no
Oklahoma City Thunder,Cleveland Cavaliers,Jan,yes
Washington Wizards,Denver Nuggets,Jan,no
Boston Celtics,Golden State Warriors,Jan,yes
Houston Rockets,Los Angeles Lakers,Jan,no
Dallas Mavericks,New Orleans Pelicans,Jan,yes
Indiana Pacers,Orlando Magic,Jan,no
Los Angeles Clippers,Phoenix Suns,Jan,no
Milwaukee Bucks,San Antonio Spurs,Jan,yes
Detroit Pistons,Toronto Raptors,Jan,yes
Denver Nuggets,Los Angeles Clippers,Jan,yes
Orlando Magic,Memphis Grizzlies,Jan,yes
Philadelphia 76ers,New Orleans Pelicans,Jan,yes
Minnesota Timberwolves,Oklahoma City Thunder,Jan,yes
Boston Celtics,Utah Jazz,Jan,no
Memphis Grizzlies,Dallas Mavericks,Jan,no
Cleveland Cavaliers,Detroit Pistons,Jan,no
Chicago Bulls,Golden State Warriors,Jan,no
Toronto Raptors,Indiana Pacers,Jan,no
Washington Wizards,Los Angeles Lakers,Jan,no
Milwaukee Bucks,Miami Heat,Jan,no
Brooklyn Nets,Atlanta Hawks,Jan,yes
Portland Trail Blazers,Cleveland Cavaliers,Jan,yes
Dallas Mavericks,Houston Rockets,Jan,yes
Boston Celtics,Minnesota Timberwolves,Jan,yes
Denver Nuggets,New Orleans Pelicans,Jan,no
Oklahoma City Thunder,New York Knicks,Jan,yes
Detroit Pistons,Philadelphia 76ers,Jan,yes
Washington Wizards,Phoenix Suns,Jan,yes
Charlotte Hornets,San Antonio Spurs,Jan,yes
Sacramento Kings,Toronto Raptors,Jan,yes
Los Angeles Clippers,Utah Jazz,Jan,no
New York Knicks,Indiana Pacers,Jan,yes
Chicago Bulls,Los Angeles Lakers,Jan,yes
Denver Nuggets,Memphis Grizzlies,Jan,yes
Milwaukee Bucks,Orlando Magic,Jan,no
Portland Trail Blazers,Atlanta Hawks,Jan,yes
Houston Rockets,Boston Celtics,Jan,no
Toronto Raptors,Brooklyn Nets,Jan,no
Sacramento Kings,Cleveland Cavaliers,Jan,yes
Dallas Mavericks,Miami Heat,Jan,no
Los Angeles Clippers,New Orleans Pelicans,Jan,yes
Minnesota Timberwolves,Philadelphia 76ers,Jan,yes
Chicago Bulls,Phoenix Suns,Jan,yes
Golden State Warriors,Utah Jazz,Jan,yes
Philadelphia 76ers,Atlanta Hawks,Jan,yes
Charlotte Hornets,Denver Nuggets,Jan,no
Houston Rockets,Detroit Pistons,Jan,yes
Phoenix Suns,Golden State Warriors,Jan,yes
Sacramento Kings,Indiana Pacers,Jan,no
Oklahoma City Thunder,Memphis Grizzlies,Jan,yes
Portland Trail Blazers,Milwaukee Bucks,Jan,yes
Cleveland Cavaliers,Minnesota Timberwolves,Jan,no
Dallas Mavericks,Orlando Magic,Jan,no
Los Angeles Clippers,San Antonio Spurs,Jan,no
Toronto Raptors,Washington Wizards,Jan,no
Miami Heat,Boston Celtics,Feb,no
Los Angeles Lakers,New York Knicks,Feb,yes
Los Angeles Clippers,Brooklyn Nets,Feb,yes
Philadelphia 76ers,Cleveland Cavaliers,Feb,yes
Minnesota Timberwolves,Dallas Mavericks,Feb,yes
Atlanta Hawks,New Orleans Pelicans,Feb,yes
Orlando Magic,Oklahoma City Thunder,Feb,yes
Memphis Grizzlies,Phoenix Suns,Feb,no
Milwaukee Bucks,Toronto Raptors,Feb,no
Charlotte Hornets,Washington Wizards,Feb,no
Miami Heat,Detroit Pistons,Feb,yes
Boston Celtics,New York Knicks,Feb,no
Denver Nuggets,Philadelphia 76ers,Feb,yes
Utah Jazz,Portland Trail Blazers,Feb,yes
Golden State Warriors,Sacramento Kings,Feb,no
Washington Wizards,Atlanta Hawks,Feb,yes
Denver Nuggets,Boston Celtics,Feb,yes
Dallas Mavericks,Golden State Warriors,Feb,yes
Chicago Bulls,Houston Rockets,Feb,yes
Detroit Pistons,Indiana Pacers,Feb,yes
Los Angeles Lakers,Milwaukee Bucks,Feb,yes
Miami Heat,Minnesota Timberwolves,Feb,yes
Oklahoma City Thunder,New Orleans Pelicans,Feb,no
Orlando Magic,San Antonio Spurs,Feb,yes
Brooklyn Nets,Toronto Raptors,Feb,no
Memphis Grizzlies,Utah Jazz,Feb,no
Washington Wizards,Charlotte Hornets,Feb,yes
Los Angeles Clippers,Cleveland Cavaliers,Feb,yes
Phoenix Suns,Portland Trail Blazers,Feb,yes
Dallas Mavericks,Sacramento Kings,Feb,no
Golden State Warriors,Atlanta Hawks,Feb,yes
Philadelphia 76ers,Boston Celtics,Feb,yes
New York Knicks,Brooklyn Nets,Feb,yes
Denver Nuggets,Detroit Pistons,Feb,yes
Milwaukee Bucks,Houston Rockets,Feb,yes
Cleveland Cavaliers,Indiana Pacers,Feb,yes
Memphis Grizzlies,Minnesota Timberwolves,Feb,yes
New Orleans Pelicans,Oklahoma City Thunder,Feb,no
Los Angeles Lakers,Orlando Magic,Feb,yes
Utah Jazz,Phoenix Suns,Feb,yes
Miami Heat,San Antonio Spurs,Feb,yes
Los Angeles Clippers,Toronto Raptors,Feb,yes
Portland Trail Blazers,Dallas Mavericks,Feb,yes
Boston Celtics,Milwaukee Bucks,Feb,yes
Chicago Bulls,New Orleans Pelicans,Feb,no
Golden State Warriors,New York Knicks,Feb,no
Charlotte Hornets,Philadelphia 76ers,Feb,yes
Sacramento Kings,Utah Jazz,Feb,yes
Brooklyn Nets,Washington Wizards,Feb,yes
Indiana Pacers,Charlotte Hornets,Feb,no
Los Angeles Lakers,Cleveland Cavaliers,Feb,yes
Minnesota Timberwolves,Detroit Pistons,Feb,no
Portland Trail Blazers,Houston Rockets,Feb,no
Atlanta Hawks,Memphis Grizzlies,Feb,yes
Los Angeles Clippers,Oklahoma City Thunder,Feb,yes
Chicago Bulls,Orlando Magic,Feb,no
Phoenix Suns,Sacramento Kings,Feb,yes
San Antonio Spurs,Toronto Raptors,Feb,yes
Los Angeles Clippers,Dallas Mavericks,Feb,no
Oklahoma City Thunder,Denver Nuggets,Feb,no
San Antonio Spurs,Indiana Pacers,Feb,no
New York Knicks,Miami Heat,Feb,yes
Brooklyn Nets,Milwaukee Bucks,Feb,yes
Atlanta Hawks,Minnesota Timberwolves,Feb,no
Utah Jazz,New Orleans Pelicans,Feb,no
Golden State Warriors,Philadelphia 76ers,Feb,no
Orlando Magic,Washington Wizards,Feb,yes
Sacramento Kings,Chicago Bulls,Feb,yes
Detroit Pistons,Charlotte Hornets,Feb,no
Denver Nuggets,Los Angeles Lakers,Feb,no
Brooklyn Nets,Memphis Grizzlies,Feb,yes
Houston Rockets,Phoenix Suns,Feb,no
Atlanta Hawks,Boston Celtics,Feb,yes
Miami Heat,Cleveland Cavaliers,Feb,yes
Utah Jazz,Dallas Mavericks,Feb,yes
San Antonio Spurs,Detroit Pistons,Feb,no
Houston Rockets,Los Angeles Clippers,Feb,yes
Sacramento Kings,Milwaukee Bucks,Feb,yes
Golden State Warriors,Minnesota Timberwolves,Feb,no
Indiana Pacers,New Orleans Pelicans,Feb,no
Memphis Grizzlies,Oklahoma City Thunder,Feb,yes
New York Knicks,Orlando Magic,Feb,yes
Los Angeles Lakers,Portland Trail Blazers,Feb,yes
Washington Wizards,Toronto Raptors,Feb,yes
Cleveland Cavaliers,Chicago Bulls,Feb,yes
San Antonio Spurs,Los Angeles Clippers,Feb,yes
Dallas Mavericks,Oklahoma City Thunder,Feb,yes
Toronto Raptors,Atlanta Hawks,Feb,no
Houston Rockets,Dallas Mavericks,Feb,yes
Chicago Bulls,Detroit Pistons,Feb,yes
San Antonio Spurs,Golden State Warriors,Feb,yes
Brooklyn Nets,Los Angeles Lakers,Feb,no
Denver Nuggets,Milwaukee Bucks,Feb,yes
Phoenix Suns,Minnesota Timberwolves,Feb,yes
Miami Heat,New York Knicks,Feb,no
New Orleans Pelicans,Orlando Magic,Feb,yes
Indiana Pacers,Philadelphia 76ers,Feb,no
Boston Celtics,Sacramento Kings,Feb,yes
Portland Trail Blazers,Utah Jazz,Feb,yes
Cleveland Cavaliers,Washington Wizards,Feb,no
Phoenix Suns,Chicago Bulls,Feb,yes
Oklahoma City Thunder,Charlotte Hornets,Feb,no
Toronto Raptors,Houston Rockets,Feb,yes
Sacramento Kings,Los Angeles Clippers,Feb,yes
New Orleans Pelicans,Miami Heat,Feb,no
Charlotte Hornets,Dallas Mavericks,Feb,yes
Washington Wizards,Detroit Pistons,Feb,yes
Golden State Warriors,Indiana Pacers,Feb,yes
Boston Celtics,Los Angeles Lakers,Feb,yes
Atlanta Hawks,Milwaukee Bucks,Feb,no
Cleveland Cavaliers,New York Knicks,Feb,no
Denver Nuggets,Oklahoma City Thunder,Feb,yes
Philadelphia 76ers,Orlando Magic,Feb,yes
Memphis Grizzlies,Portland Trail Blazers,Feb,no
Milwaukee Bucks,Chicago Bulls,Feb,yes
Brooklyn Nets,Denver Nuggets,Feb,no
Minnesota Timberwolves,Houston Rockets,Feb,yes
Memphis Grizzlies,Los Angeles Clippers,Feb,no
Philadelphia 76ers,Miami Heat,Feb,yes
Toronto Raptors,New Orleans Pelicans,Feb,yes
Boston Celtics,Phoenix Suns,Feb,no
San Antonio Spurs,Utah Jazz,Feb,yes
Toronto Raptors,Dallas Mavericks,Feb,yes
Cleveland Cavaliers,Detroit Pistons,Feb,no
Indiana Pacers,Oklahoma City Thunder,Feb,yes
Golden State Warriors,Washington Wizards,Feb,no
Dallas Mavericks,Atlanta Hawks,Feb,yes
New York Knicks,Boston Celtics,Feb,yes
Charlotte Hornets,Chicago Bulls,Feb,no
Phoenix Suns,Denver Nuggets,Feb,no
Los Angeles Clippers,Houston Rockets,Feb,yes
Philadelphia 76ers,Milwaukee Bucks,Feb,yes
Washington Wizards,Minnesota Timberwolves,Feb,yes
Brooklyn Nets,New Orleans Pelicans,Feb,yes
Miami Heat,Orlando Magic,Feb,no
San Antonio Spurs,Portland Trail Blazers,Feb,yes
Memphis Grizzlies,Sacramento Kings,Feb,yes
Los Angeles Lakers,Utah Jazz,Feb,no
Golden State Warriors,Cleveland Cavaliers,Feb,yes
Oklahoma City Thunder,Phoenix Suns,Feb,yes
Orlando Magic,Atlanta Hawks,Feb,yes
Charlotte Hornets,Boston Celtics,Feb,yes
Minnesota Timberwolves,Chicago Bulls,Feb,yes
Utah Jazz,Denver Nuggets,Feb,no
New York Knicks,Detroit Pistons,Feb,no
Brooklyn Nets,Houston Rockets,Feb,yes
Cleveland Cavaliers,Indiana Pacers,Feb,yes
Milwaukee Bucks,Los Angeles Lakers,Feb,yes
Los Angeles Clippers,Memphis Grizzlies,Feb,no
Miami Heat,New Orleans Pelicans,Feb,yes
Washington Wizards,Philadelphia 76ers,Feb,yes
Oklahoma City Thunder,Portland Trail Blazers,Feb,yes
San Antonio Spurs,Sacramento Kings,Feb,no
Golden State Warriors,Toronto Raptors,Feb,no
Brooklyn Nets,Dallas Mavericks,Feb,no
Atlanta Hawks,Miami Heat,Feb,no
Memphis Grizzlies,Minnesota Timberwolves,Feb,no
Toronto Raptors,New York Knicks,Feb,yes
San Antonio Spurs,Phoenix Suns,Feb,no
Milwaukee Bucks,Utah Jazz,Feb,yes
Detroit Pistons,Washington Wizards,Feb,yes
Golden State Warriors,Boston Celtics,Mar,no
Los Angeles Clippers,Chicago Bulls,Mar,no
New Orleans Pelicans,Denver Nuggets,Mar,no
Cleveland Cavaliers,Houston Rockets,Mar,yes
Philadelphia 76ers,Indiana Pacers,Mar,yes
Oklahoma City Thunder,Los Angeles Lakers,Mar,no
Charlotte Hornets,Orlando Magic,Mar,no
Portland Trail Blazers,Sacramento Kings,Mar,no
Golden State Warriors,Brooklyn Nets,Mar,yes
New Orleans Pelicans,Dallas Mavericks,Mar,yes
Phoenix Suns,Miami Heat,Mar,yes
Los Angeles Clippers,Minnesota Timberwolves,Mar,no
Toronto Raptors,Philadelphia 76ers,Mar,no
Houston Rockets,Atlanta Hawks,Mar,yes
Washington Wizards,Chicago Bulls,Mar,yes
Los Angeles Lakers,Charlotte Hornets,Mar,yes
Boston Celtics,Cleveland Cavaliers,Mar,yes
Milwaukee Bucks,Denver Nuggets,Mar,yes
Utah Jazz,Memphis Grizzlies,Mar,no
Sacramento Kings,New York Knicks,Mar,no
Utah Jazz,Boston Celtics,Mar,yes
Charlotte Hornets,Brooklyn Nets,Mar,no
Milwaukee Bucks,Golden State Warriors,Mar,yes
Memphis Grizzlies,Houston Rockets,Mar,no
New York Knicks,Indiana Pacers,Mar,yes
Portland Trail Blazers,Los Angeles Clippers,Mar,no
Los Angeles Lakers,Miami Heat,Mar,yes
Denver Nuggets,Minnesota Timberwolves,Mar,no
Detroit Pistons,New Orleans Pelicans,Mar,yes
Philadelphia 76ers,Oklahoma City Thunder,Mar,yes
Phoenix Suns,Orlando Magic,Mar,no
Sacramento Kings,San Antonio Spurs,Mar,yes
Cleveland Cavaliers,Toronto Raptors,Mar,no
Oklahoma City Thunder,Chicago Bulls,Mar,yes
Dallas Mavericks,Portland Trail Blazers,Mar,yes
Cleveland Cavaliers,Atlanta Hawks,Mar,yes
Phoenix Suns,Brooklyn Nets,Mar,no
Toronto Raptors,Charlotte Hornets,Mar,yes
Dallas Mavericks,Golden State Warriors,Mar,yes
Detroit Pistons,Houston Rockets,Mar,yes
Chicago Bulls,Indiana Pacers,Mar,yes
Los Angeles Lakers,Memphis Grizzlies,Mar,yes
Boston Celtics,New Orleans Pelicans,Mar,no
Sacramento Kings,Orlando Magic,Mar,yes
Utah Jazz,Philadelphia 76ers,Mar,no
Denver Nuggets,San Antonio Spurs,Mar,yes
Miami Heat,Washington Wizards,Mar,yes
Phoenix Suns,Cleveland Cavaliers,Mar,yes
Houston Rockets,Denver Nuggets,Mar,no
Sacramento Kings,Miami Heat,Mar,yes
Washington Wizards,Milwaukee Bucks,Mar,yes
Portland Trail Blazers,Minnesota Timberwolves,Mar,yes
Memphis Grizzlies,New Orleans Pelicans,Mar,yes
Indiana Pacers,New York Knicks,Mar,no
Atlanta Hawks,Philadelphia 76ers,Mar,yes
Utah Jazz,Brooklyn Nets,Mar,no
Charlotte Hornets,Detroit Pistons,Mar,no
Los Angeles Clippers,Golden State Warriors,Mar,yes
Dallas Mavericks,Los Angeles Lakers,Mar,no
Toronto Raptors,Oklahoma City Thunder,Mar,yes
Boston Celtics,Orlando Magic,Mar,yes
Chicago Bulls,San Antonio Spurs,Mar,yes
Sacramento Kings,Atlanta Hawks,Mar,yes
Memphis Grizzlies,Chicago Bulls,Mar,no
Washington Wizards,Charlotte Hornets,Mar,no
New York Knicks,Denver Nuggets,Mar,yes
Minnesota Timberwolves,Los Angeles Clippers,Mar,yes
Boston Celtics,Miami Heat,Mar,no
New Orleans Pelicans,Milwaukee Bucks,Mar,no
Golden State Warriors,Phoenix Suns,Mar,no
New Orleans Pelicans,Brooklyn Nets,Mar,no
Cleveland Cavaliers,Dallas Mavericks,Mar,no
Orlando Magic,Indiana Pacers,Mar,yes
Detroit Pistons,Los Angeles Lakers,Mar,yes
Toronto Raptors,San Antonio Spurs,Mar,yes
New York Knicks,Utah Jazz,Mar,yes
Memphis Grizzlies,Boston Celtics,Mar,yes
Sacramento Kings,Charlotte Hornets,Mar,no
Atlanta Hawks,Denver Nuggets,Mar,yes
Detroit Pistons,Golden State Warriors,Mar,yes
Brooklyn Nets,Miami Heat,Mar,yes
Orlando Magic,Milwaukee Bucks,Mar,yes
Los Angeles Clippers,Oklahoma City Thunder,Mar,no
Chicago Bulls,Philadelphia 76ers,Mar,no
Minnesota Timberwolves,Phoenix Suns,Mar,yes
Houston Rockets,Portland Trail Blazers,Mar,yes
Milwaukee Bucks,Indiana Pacers,Mar,yes
New York Knicks,Los Angeles Lakers,Mar,no
Cleveland Cavaliers,San Antonio Spurs,Mar,no
Houston Rockets,Utah Jazz,Mar,yes
Memphis Grizzlies,Washington Wizards,Mar,yes
Orlando Magic,Boston Celtics,Mar,yes
Chicago Bulls,Charlotte Hornets,Mar,yes
Los Angeles Clippers,Dallas Mavericks,Mar,yes
Golden State Warriors,Denver Nuggets,Mar,yes
Minnesota Timberwolves,Oklahoma City Thunder,Mar,yes
Sacramento Kings,Philadelphia 76ers,Mar,yes
Atlanta Hawks,Phoenix Suns,Mar,no
Detroit Pistons,Portland Trail Blazers,Mar,yes
Miami Heat,Toronto Raptors,Mar,yes
New York Knicks,Golden State Warriors,Mar,yes
Boston Celtics,Indiana Pacers,Mar,no
Milwaukee Bucks,Memphis Grizzlies,Mar,yes
Brooklyn Nets,Philadelphia 76ers,Mar,no
Detroit Pistons,Utah Jazz,Mar,yes
Sacramento Kings,Washington Wizards,Mar,yes
Houston Rockets,Los Angeles Clippers,Mar,no
Atlanta Hawks,Los Angeles Lakers,Mar,no
Denver Nuggets,New Orleans Pelicans,Mar,no
Chicago Bulls,Oklahoma City Thunder,Mar,yes
Cleveland Cavaliers,Orlando Magic,Mar,no
New York Knicks,Phoenix Suns,Mar,yes
Minnesota Timberwolves,San Antonio Spurs,Mar,yes
Portland Trail Blazers,Toronto Raptors,Mar,no
Philadelphia 76ers,Boston Celtics,Mar,yes
Oklahoma City Thunder,Dallas Mavericks,Mar,yes
Los Angeles Lakers,Golden State Warriors,Mar,yes
Toronto Raptors,Indiana Pacers,Mar,no
Denver Nuggets,Memphis Grizzlies,Mar,yes
Cleveland Cavaliers,Miami Heat,Mar,yes
Brooklyn Nets,Minnesota Timberwolves,Mar,no
Atlanta Hawks,Sacramento Kings,Mar,no
Charlotte Hornets,Utah Jazz,Mar,yes
Portland Trail Blazers,Washington Wizards,Mar,yes
Memphis Grizzlies,Detroit Pistons,Mar,yes
Orlando Magic,Houston Rockets,Mar,yes
Charlotte Hornets,Los Angeles Clippers,Mar,yes
Milwaukee Bucks,New Orleans Pelicans,Mar,yes
San Antonio Spurs,New York Knicks,Mar,yes
Indiana Pacers,Chicago Bulls,Mar,yes
Brooklyn Nets,Cleveland Cavaliers,Mar,yes
Orlando Magic,Dallas Mavericks,Mar,yes
Atlanta Hawks,Golden State Warriors,Mar,yes
Portland Trail Blazers,Miami Heat,Mar,yes
San Antonio Spurs,Milwaukee Bucks,Mar,no
Boston Celtics,Oklahoma City Thunder,Mar,yes
Detroit Pistons,Philadelphia 76ers,Mar,yes
Los Angeles Clippers,Sacramento Kings,Mar,no
Minnesota Timberwolves,Toronto Raptors,Mar,yes
Washington Wizards,Utah Jazz,Mar,no
Denver Nuggets,Houston Rockets,Mar,yes
Utah Jazz,Los Angeles Lakers,Mar,no
Minnesota Timberwolves,New York Knicks,Mar,no
New Orleans Pelicans,Phoenix Suns,Mar,yes
Milwaukee Bucks,Brooklyn Nets,Mar,yes
Toronto Raptors,Chicago Bulls,Mar,yes
Indiana Pacers,Cleveland Cavaliers,Mar,yes
Memphis Grizzlies,Dallas Mavericks,Mar,no
New Orleans Pelicans,Golden State Warriors,Mar,yes
Washington Wizards,Los Angeles Clippers,Mar,yes
Denver Nuggets,Miami Heat,Mar,yes
Atlanta Hawks,Oklahoma City Thunder,Mar,yes
Portland Trail Blazers,Orlando Magic,Mar,yes
New York Knicks,Philadelphia 76ers,Mar,yes
Charlotte Hornets,Sacramento Kings,Mar,yes
Boston Celtics,San Antonio Spurs,Mar,yes
Chicago Bulls,Detroit Pistons,Mar,yes
Utah Jazz,Golden State Warriors,Mar,yes
Phoenix Suns,Houston Rockets,Mar,no
Brooklyn Nets,Indiana Pacers,Mar,no
Portland Trail Blazers,Memphis Grizzlies,Mar,yes
San Antonio Spurs,Atlanta Hawks,Mar,no
Detroit Pistons,Boston Celtics,Mar,no
New Orleans Pelicans,Los Angeles Clippers,Mar,yes
Philadelphia 76ers,Los Angeles Lakers,Mar,yes
Cleveland Cavaliers,Milwaukee Bucks,Mar,no
Charlotte Hornets,Minnesota Timberwolves,Mar,no
Miami Heat,Oklahoma City Thunder,Mar,yes
Denver Nuggets,Orlando Magic,Mar,no
Dallas Mavericks,Phoenix Suns,Mar,yes
Washington Wizards,Sacramento Kings,Mar,yes
New York Knicks,Toronto Raptors,Mar,yes
Boston Celtics,Brooklyn Nets,Mar,no
Charlotte Hornets,Chicago Bulls,Mar,yes
Washington Wizards,Golden State Warriors,Mar,yes
Houston Rockets,Indiana Pacers,Mar,no
Memphis Grizzlies,New York Knicks,Mar,no
Minnesota Timberwolves,Utah Jazz,Mar,no
San Antonio Spurs,Dallas Mavericks,Mar,yes
Toronto Raptors,Detroit Pistons,Mar,yes
Miami Heat,Milwaukee Bucks,Mar,yes
Los Angeles Lakers,Oklahoma City Thunder,Mar,yes
Golden State Warriors,Portland Trail Blazers,Mar,no
Philadelphia 76ers,Sacramento Kings,Mar,yes
Miami Heat,Boston Celtics,Mar,no
Brooklyn Nets,Charlotte Hornets,Mar,no
Philadelphia 76ers,Denver Nuggets,Mar,no
Cleveland Cavaliers,Memphis Grizzlies,Mar,no
Los Angeles Lakers,Minnesota Timberwolves,Mar,no
Houston Rockets,New Orleans Pelicans,Mar,no
Los Angeles Clippers,New York Knicks,Mar,no
Atlanta Hawks,Orlando Magic,Mar,no
Sacramento Kings,Phoenix Suns,Mar,no
Oklahoma City Thunder,San Antonio Spurs,Mar,yes
Chicago Bulls,Toronto Raptors,Mar,no
Portland Trail Blazers,Utah Jazz,Mar,no
Indiana Pacers,Washington Wizards,Mar,no
Indiana Pacers,Milwaukee Bucks,Mar,yes
Miami Heat,Atlanta Hawks,Mar,yes
Cleveland Cavaliers,Brooklyn Nets,Mar,yes
Utah Jazz,Denver Nuggets,Mar,yes
Minnesota Timberwolves,Houston Rockets,Mar,yes
Golden State Warriors,Memphis Grizzlies,Mar,no
Sacramento Kings,New Orleans Pelicans,Mar,yes
Boston Celtics,New York Knicks,Mar,no
Detroit Pistons,Orlando Magic,Mar,no
